AidData Project ID,Title,Organization,Organization ISO,Organization Role,Organization,Organization ISO,Organization Role,Organization,Organization ISO,Organization Role,Other Organizations,Source,Start Date (DD/MM/YYYY),End Date (DD/MM/YYYY),Planned Start Date (DD/MM/YYYY),Planned End Date (DD/MM/YYYY),Source Detail,Status,AidData Sector Code,AidData Sector Name,AidData Purpose Code,AidData Purpose Name,AidData Activity Code(s),AidData Activity Name(s),Short Description,Long Description,Donor Project ID,Donor Secondary Project ID,Additional Info,Project Commitment Amount (Constant USD2011),Project Disbursement Amount (Constant USD2011),Total Project Cost (Donor Reported),CRS: Untied Amount (Nominal USD),CRS: Tied Amount (Nominal USD),CRS: Partial Tied Amount (Nominal USD),CRS: Pdgg,CRS: Channel Code,CRS: Bi Multi,CRS: Desertification,CRS: Environment,CRS: Gender,CRS: Trade,CRS: Climate,CRS: Biodiversity,CRS: Region,CRS: Sector Code,CRS: Sector,CRS: Purpose Code,CRS: Purpose Name,CRS: Flow Name,CRS: Finance T,CRS: Associated Financing,CRS: Future Ds Principal Amount Usd Nominal,CRS: Future Ds Interest Amount Usd Nominal,CRS: Irtc Amount Usd Nominal,CRS: Received Amount Usd Nominal,CRS: Aid T,CRS: Arrears Interest Amount Usd Nominal,CRS: Arrears Principal Amount Usd Nominal,CRS: Channel Name,CRS: Expert Commitment Amount Usd Nominal,CRS: Export Credit Amount Usd Nominal,CRS: Export Extended Amount Usd Nominal,CRS: FTC,CRS: Initial Report,CRS: Interest Amount Usd Nominal,CRS: Outstanding Amount Usd Nominal,CRS: Repay Type,CRS: Second Interest Rate
95462037,Politique de l’environnement et gestion administrative - coopération technique,France,FR,Funding,COOP DECENTRAL/MAE,,Extending,ONG,,Implementing,,OECD,1/1/2010,31/12/2010,,,CRS Online 2012,READY,410,GENERAL ENVIRONMENTAL PROTECTION,41010,Environmental policy and administrative management,31150.01|31150.04|31140.02|31191.01|31191.04|31130.05,"Agricultural inputs, activity unspecified or does not fit elsewhere in group|Agricultural machinery/equipment|Irrigation|Agricultural services |Agricultural co-operatives|Land reclamation ",POLITIQUE DE L’ENVIRONNEMENT ET GESTION ADMINISTRATIVE - COOPÉRATION TECHNIQUE,Politique de l’environnement et gestion administrative - coopération technique,,2010080981,,705,705,0,6.6225165562913907E-4,0.0,0.0,,11000,1,,2,,,,,South America,410,IV.1. General Environment Protection,41010,Environmental policy and admin. mgmt,ODA Grants,110,,,,,,D01,,,Donor government,,,,1,8,,,,
95685688,Secteur non spécifié,France,FR,Funding,MEN,,Extending,Secteur public,,Implementing,,OECD,1/1/2010,31/12/2010,,,CRS Online 2012,READY,998,UNALLOCATED/  UNSPECIFIED,99810,Sectors not specified,31220.08,Fuelwood/charcoal,SECTORS NOT SPECIFIED,Coopération Régionale pour les pays andins,,2010175119,,3741,3741,0,3.5161151708609272E-3,,0.0,,11000,1,,,,,,,South America,998,XII. Unallocated / Unspecified,99810,Sectors not specified,ODA Grants,110,,,,,,D02,,,Donor government,,,,1,8,0.0,,,
906000136519,Oxfam-Québec - Volunteer Sending 2009-2015 / Oxfam-Québec - Envoi de volontaires 2009-2015,Canada,,Funding,DFATD,,Extending,Oxfam-Québec,,Implementing,,OECD 2013,,,,,,READY,410,GENERAL ENVIRONMENTAL PROTECTION,41081,Environmental education/ training,,,OXFAM-QUÉBEC - VOLUNTEER SENDING 2009-2015 / OXFAM-QUÉBEC - ENVOI DE VOLONTAIRES 2009-2015,"This volunteer sending program is designed to send 636 volunteers to 13 developing countries. It aims to: (1) enable partners to provide women and men with the capacity to exercise their economic rights and to reduce their vulnerability to change; (2) enable civil society to establish effective dialogues with the government to identify policies and strategies that benefit vulnerable populations regarding the issues linked to essential health, education and drinking water services; (3) enable partners to strengthen women’s leadership and increase their capacity to influence, to identify strategies that eliminate all forms of violence and discrimination towards them, to ensure the defence and the promotion of their rights, and to involve men in this regard; and (4) enable partners to better defend youth issues in local policies, to promote access to essential education and health services for youth, and make youth stakeholders in society. As of the final year of the program, in April 2014, programming will extend to Colombia and Mali in the form of a regional approach. An amount of $80,622 has been added to the total amount for each of the Volunteer Cooperation Agency programs for CIDA-led program evaluations. / Ce programme d'envoi de volontaires permet l'envoi de 636 volontaires dans 13 pays en voie de développement. Il vise à : 1) habiliter les partenaires afin de donner aux femmes et aux hommes les capacités d'exercer leurs droits économiques et à réduire leur vulnérabilité face aux changements; 2) habiliter la société civile afin qu'elle soit en mesure d'établir un dialogue efficace avec le gouvernement afin d'identifier des politiques et stratégies en faveur des populations vulnérables sur les questions touchant les services essentiels en matière de santé, d'éducation et d'eau potable; 3) habiliter les partenaires afin de renforcer le leadership des femmes et d'accroître leur capacité d'influence, d'identifier des stratégies pour éliminer toute forme de violence et de discrimination à leur égard, d'assurer la défense et la promotion de leurs droits et d'impliquer les hommes dans cette démarche; 4) habiliter les partenaires afin qu'ils soient en mesure de mieux défendre la position des jeunes face aux politiques locales, de favoriser l'accès des jeunes à des services essentiels d'éducation et de santé et d'en faire des acteurs de la société. Lors de la dernière année du programme, à compter d’avril 2014, la Colombie et le Mali feront leur entrée dans la programmation dans une approche régionale. Un montant de 80 622 $ a été ajouté au montant total pour chaque programme des organisations de coopération volontaire pour les évaluations de programmes menées par l’ACDI.",S064524PRG,20092007890108,,0,3519,0,0,0,0,1,21000,1,0,2,2,0,,0,South America,410,IV.1. General Environment Protection,41081,Environmental education/training,ODA Grants,110,,,,,0,D01,0,0,International NGOs,,,,1,3,0,0,,0
906000328545,Climate Change and Glacier Threats,Switzerland,,Funding,SDC,,Extending,,,,,OECD 2013,,,,,,READY,410,GENERAL ENVIRONMENTAL PROTECTION,41010,Environmental policy and administrative management,,,CLIMATE CHANGE AND GLACIER THREATS,"Face au recul des glaciers dans la Cordillère péruvienne, la population et les autorités disposent des compétences nécessaires en matière d’adaptation afin de garantir l’approvisionnement en eau potable et d’irrigation tout en étant à même de gérer les risques de manière à les minimiser. - (a) Local - Plan de gestion hydrique dans deux bassins versants (Huaraz et Cusco), monitorage intégral et système d’alerte; (b) Académique - Développement d’une offre de formation post grade articulée entre trois universités, développement des capacités au sein de ces universités; (c) Institutionnel - Développement de capacités et plaidoyer politique.",7F-07833.01-11000-454-41010-C01,2010004476,,0,837217,0,,,,1,11000,1,0,2,0,,,0,South America,410,IV.1. General Environment Protection,41010,Environmental policy and admin. mgmt,ODA Grants,110,,,,,,C01,,,Donor government,,,,,3,,,,
906000345605,MISEAN CARA - Strengthening communities in positive and particip,Ireland,,Funding,DFA,,Extending,MISEAN CARA,,Implementing,,OECD 2013,,,,,,READY,410,GENERAL ENVIRONMENTAL PROTECTION,41081,Environmental education/ training,,,MISEAN CARA - STRENGTHENING COMMUNITIES IN POSITIVE AND PARTICIP,Support to Missionary Organisations - Civil Society-IMRS - This funding will be used to support the work of Irish missionaries in some 50 developing countries. -MISEAN CARA - Strengthening communities in positive and particip-ative environmental practicesin San Juan de Lurigancho area of Lima,B2IMRS-IMRS001,2013000612,,25946,25946,0,0.02655337227827934,,,1,22000,7,1,2,0,,,1,South America,410,IV.1. General Environment Protection,41081,Environmental education/training,ODA Grants,110,,,,,,B01,,,National NGOs,,,,,8,,,,
906000803544,Ecological coffee production in agroforest system,Germany,,Funding,BMZ,,Extending,Donor country-based NGO,,Implementing,,OECD 2013,,,,,,READY,410,GENERAL ENVIRONMENTAL PROTECTION,41030,Bio-diversity,,,ECOLOGICAL COFFEE PRODUCTION IN AGROFOREST SYSTEM,Ecological coffee production in agroforest system,201255538,2013006740,,0,251927,0,0,0,,0,22000,1,0,2,0,,,2,South America,410,IV.1. General Environment Protection,41030,Bio-diversity,ODA Grants,110,,,,,0,C01,0,0,National NGOs,,,,1,3,0,0,,
906000143768,Cuso International - Volunteer Sending 2009-2015 / Cuso International - Envoi de volontaires 2009-2015,Canada,,Funding,DFATD,,Extending,Cuso International,,Implementing,,OECD 2013,,,,,,READY,410,GENERAL ENVIRONMENTAL PROTECTION,41010,Environmental policy and administrative management,,,CUSO INTERNATIONAL - VOLUNTEER SENDING 2009-2015 / CUSO INTERNATIONAL - ENVOI DE VOLONTAIRES 2009-2015,"As part of the 2009-2015 Volunteer Cooperation Program, Cuso International places 1400 sector-focused skilled volunteers to build the capacity of partner organizations in 26 countries. Volunteer placements are both long- and short-term in nature, and include multiple types of volunteering options: North-South, South-South, South-North, national, Diaspora and business partnerships. Volunteers focus on capacity building (through sharing of knowledge, methodologies, and/or tools relating to specific capacity areas) and enhancing the ability of partners to influence development policy. Partners include local civil society organizations, national and local governments and various networks and associations. Cuso International also delivers a public engagement program in Canada designed to deepen understanding amongst Canadians and create opportunities for informed action on international development issues. Cuso International works in the following sectors: Education, with a particular focus on the inclusion of women and girls in educational options; HIV and AIDS, with a particular focus on the vulnerability of woman and girls, and the rights of people to have access to services; Participation and Governance / Access to Justice, by aiming to empower poor and marginalized groups, especially women, to fulfill rights of access to basic services, and by ensuring access to justice for women and children; Youth Social and Economic Inclusion, by creating opportunities for training and employment for young women and men facing poverty, underemployment and social exclusion; Protecting Environments; Managing Natural Resources, by strengthening community-level governance mechanisms, including the participation of women in community decision-making, aimed at better local management of natural resources; Gender Equality, by incorporating GE as a crosscutting theme throughout all programming components, and through local GE capacity building activities with partners. An amount of $80,622 has been added to the total amount for each of the Volunteer Cooperation Agency programs for CIDA-led program evaluations. / Dans le cadre du Programme de coopération volontaire 2009-2015, Cuso International place 1 400 volontaires compétents dans des secteurs ciblés afin de développer la capacité des organisations partenaires dans 26 pays. Les postes volontaires sont à la fois à court terme et à long terme et offrent de multiples options de volontariat : partenariats Nord-Sud, Sud-Sud, Sud-Nord, nationaux, de diaspora et d’affaires. Les volontaires se concentrent sur le développement des capacités par l’entremise du partage des connaissances, des méthodologies, ou des outils liés à des domaines particuliers en matière de capacité. Ils se concentrent également sur le rehaussement de la capacité des partenaires à influencer les politiques de développement. Les partenaires comprennent des organisations locales de la société civile, des gouvernements locaux et divers réseaux et ass",S064671PRG,20092008550135,,0,182007,0,0,0,0,0,22000,1,0,2,2,0,,0,South America,410,IV.1. General Environment Protection,41010,Environmental policy and admin. mgmt,ODA Grants,110,,,,,0,D01,0,0,National NGOs,,,,1,3,0,0,,0
118796742,Volunteer Pre-Service Training,United States,US,Funding,PEACE,,Extending,U.S. Government - Peace Corps,,Implementing,,OECD,31/12/2011,30/12/2012,,,OECD Online 2012 - 2014 July,READY,410,GENERAL ENVIRONMENTAL PROTECTION,41010,Environmental policy and administrative management,23040.01|23020.01,"Electrical transmission/ distribution, activity unspecified or does not fit elsewhere in group|Power generation/non-renewable sources, activity unspecified or does not fit elsewhere in group",VOLUNTEER PRE-SERVICE TRAINING,Volunteer Pre-Service Training for Environment,44_238,2012053534,,87978,90648,0,,8.9605000000000004E-2,,,10000,1,,2,,,,,South America,410,IV.1. General Environment Protection,41010,Environmental policy and admin. mgmt,ODA Grants,110,,,,,,D01,,,"PUBLIC SECTOR (donor, recipient, other)",,,,1,1,,,,
94615910,Scuola di conservazione beni archeologici,Italy,IT,Funding,LA,,Extending,,,,,OECD,,,,,CRS Online 2012,READY,410,GENERAL ENVIRONMENTAL PROTECTION,41040,Site preservation,,,SCUOLA DI CONSERVAZIONE BENI ARCHEOLOGICI,Sostegno al progetto scuola di conservazione beni archeologici in Chacas,2,2010002166,,30978,30978,0,0.0,0.0,0.0,0,10000,1,0,2,2,0,0,0,South America,410,IV.1. General Environment Protection,41040,Site preservation,ODA Grants,110,,,,,,C01,,,"PUBLIC SECTOR (donor, recipient, other)",,,,,1,,,,
906000870911,Local Cooperation Fund (LCF) in Peru,Finland,,Funding,MFA,,Extending,Embassy of Finland,,Implementing,,OECD 2013,,,,,,READY,312,Forestry,31281,Forestry education/training,,,LOCAL COOPERATION FUND (LCF) IN PERU,Alleviating the deforestation pressure in the buffer zones of both Cordillera Escalera Regional Natural Reserve and Cordillera Azul National Park through the promotion of sustainable management of two native palms for the production of vegetal ivory and brooms. The communities are already involved in the extraction of non wooden forestry products with good commercial demand which will give them a source of incomes alternative to logging or deforesting for introducing livestock. This phase will allow them to start giving added value to their production/ San Martin (North Eastern Amazonia),45408612,2012000238,,0,32967,0,0,0,,1,11000,1,0,2,0,0,,1,South America,312,III.1.b. Forestry,31281,Forestry education/training,ODA Grants,110,,,,,,C01,,,Donor government,,,,,3,,,,
