,AidData Project ID,aiddata_id,aiddata_2_id,year,donor,donor_iso,donor_region,implementing_agency,financing_agency,crs_bi_multi,recipient,recipient_iso,recipient_region,start_date,end_date,commitment_date,planned_start_date,planned_end_date,title,short_description,long_description,donor_project_id,donor_secondary_id,aiddata_sector_code,aiddata_sector_name,aiddata_purpose_code,aiddata_purpose_name,aiddata_activity_codes,aiddata_activity_names,flow_name,crs_sector_code,crs_sector_name,crs_purpose_code,crs_purpose_name,coalesced_purpose_code,coalesced_purpose_name,commitment_amount_usd_constant,total_project_cost,crs_trade,crs_climate,crs_biodiversity,crs_gender,crs_environment,crs_desertification,pdgg,channel_code,associated_financing,future_ds_principal_amount_usd_nominal,future_ds_interest_amount_usd_nominal,received_amount_usd_nominal,irtc_amount_usd_nominal,untied_amount_usd_nominal,tied_amount_usd_nominal,partial_tied_amount_usd_nominal,finance_t,arrears_interest_amount_usd_nominal,arrears_principal_amount_usd_nominal,initial_report,ftc,repay_type,outstanding_amount_usd_nominal,interest_amount_usd_nominal,expert_commitment_amount_usd_nominal,export_credit_amount_usd_nominal,expert_extended_amount_usd_nominal,additional_info,source,source_detail
264526,,97272212,NA,2010,Spain,ES,Europe,ND,MUNIC,1,Peru,PE,South America,1/1/10,12/31/10,1/1/10,NA,NA,ND,BASIC DRINKING WATER SUPPLY AND BASIC SANITATION,"El proyecto va dirigido a permitir el acceso al agua potable de 167 familias de dos comunidades, mediante la dotacií_n e instalacií_n de tanques elevados en las mismas viviendas para el almacenamiento y conservacií_n del agua potable y mediante actuaciones de capacitacií_n para la adquisicií_n de príçcticas adecuadas de nutricií_n, salud y saneamiento bíçsico.",2010-BIL-EELL-28900,2010013818,140,Water supply and sanitation,NA,,,,ODA Grants,140,I.4. Water Supply & Sanitation,14030,Basic drinking water supply and basic sanitation,14030,Basic drinking water supply and basic sanitation,38205,0,0,0,0,1,0,NA,1,22000,NA,0,0,0,0,36048.19868,0,0,C01,0,0,1,NA,NA,0,0,0,0,0,,OECD,CRS Online 2012
612958,,50033804,50033804,2009,Sweden,SE,Europe,LO/TCOs Bistí«ndsní_mnd,Sida,1,Peru,PE,South America,1/1/09,6/28/10,1/1/09,NA,NA,LO-TCO Frame 2009 LO-TCO South 2009,LO-TCO FRAME 2009 LO-TCO SOUTH 2009,Framework agreement funds provided LO/TCO for activites that coincide with Sida's assignment to support civil society in developingcountries as well as support communication work in Sweden. Includesan administration grant.,5403002401,2009002953,130,Population policies/ programmes and reproductive health,13040,STD control including HIV/AIDS,91010.01,All items relating to otherwise unspecified adminstrative costs of donors,ODA Grants,998,XII. Unallocated / Unspecified,99810,Sectors not specified,13040,STD control including HIV/AIDS,1369,0,0,0,0,1,1,NA,2,22000,NA,0,0,0,0,1140.04612,0,0,,0,0,1,NA,NA,0,0,0,0,0,,OECD,CRS_ONLINE_MAY2011
612960,,50033806,50033806,2009,Sweden,SE,Europe,Forum Syd,Sida,1,Peru,PE,South America,2/1/09,6/28/10,1/1/09,NA,NA,Forum Syd Frame 2009,FORUM SYD FRAME 2009,Framework agreement with Forum Syd for 2009 - sub-granting funds toSwedish NGOs for dev coop South.,5403000401,2009002525,430,Other,43081,Multisector education/training,72010.01,All non-food relief items and assistance,ODA Grants,430,IV.2. Other Multisector,43040,Rural development,43081,Multisector education/training,6458,0,0,0,0,1,1,NA,2,22000,NA,0,0,0,0,5377.980137,0,0,,0,0,1,NA,NA,0,0,0,0,0,,OECD,CRS_ONLINE_MAY2011
612954,,50033800,50033800,2009,Sweden,SE,Europe,Forum Syd,Sida,1,Peru,PE,South America,2/1/09,6/28/10,1/1/09,NA,NA,Forum Syd Frame 2009,FORUM SYD FRAME 2009,Framework agreement with Forum Syd for 2009 - sub-granting funds toSwedish NGOs for dev coop South.,5403000401,2009003056,430,Other,43081,Multisector education/training,72010.01,All non-food relief items and assistance,ODA Grants,998,XII. Unallocated / Unspecified,99810,Sectors not specified,43081,Multisector education/training,608,0,0,0,0,1,1,NA,2,22000,NA,0,0,0,0,506.1620503,0,0,,0,0,1,NA,NA,0,0,0,0,0,,OECD,CRS_ONLINE_MAY2011
612957,,50033803,50033803,2009,Sweden,SE,Europe,Svenska Naturskyddsfí_reningen,Sida,1,Peru,PE,South America,1/1/09,6/28/13,1/1/09,NA,NA,SSNC 2009-2011,SSNC 2009-2011,"A three year Framework Agreement for 2009-2011, with main focus of on strengthening of civil society in the area of environment and climate issues. The Programme is divided in several sub-programmes such as climate, water, forestry etc. Their is also a sub-program aimed at Eastern European countries that can be found under 54030029",5403000101,2009001478,430,Other,43040,Rural development,15130.06|15150.07,Law enforcement and crime prevention|Human rights,ODA Grants,430,IV.2. Other Multisector,43040,Rural development,43040,Rural development,107066,0,0,0,0,1,1,NA,2,22000,NA,0,0,0,0,89159.29614,0,0,,0,0,1,NA,NA,0,0,0,0,0,,OECD,CRS_ONLINE_MAY2011
258489,,97051600,NA,2010,Spain,ES,Europe,RODE FOUNDATION,AG,1,Peru,PE,South America,1/1/10,1/1/11,1/1/10,NA,NA,"Improvement of the health situation of the Lower Piscobamba community, microbasin of Ocabamba",WATER RESOURCES POLICY/ADMIN. MGMT,ND,2010-BIL-CCAA-24485,2010008205,140,Water supply and sanitation,NA,,,,ODA Grants,140,I.4. Water Supply & Sanitation,14010,Water resources policy/admin. mgmt,14010,Water resources policy and administrative management,72644,0,0,0,0,0,1,NA,0,22000,NA,0,0,0,0,68543.04636,0,0,C01,0,0,1,1,NA,0,0,0,0,0,,OECD,CRS Online 2012
258514,,97052485,NA,2010,Spain,ES,Europe,Global Humanitarian,AG,1,Peru,PE,South America,1/1/10,1/1/11,1/1/10,NA,NA,"Interethnic center for training and capacity building of indigenous peoples from Peru's Central Amazon, to improve appropriateness, development and a","INTERETHNIC CENTER FOR TRAINING & CAPACITY BUILDING OF INDIGENOUS PEOPLES FROM PERU'S CENTRAL AMAZON, TO IMPROVE APPROPRIATENESS, DEV & ACCESS TO INT","Se busca mejorar la pertinecia, el desarrollo y el acceso a la educacií_n bíçsica, bilingí_e e intercultural.",2010-BIL-CCAA-23005,2010006725,111,"Education, level unspecified",NA,,,,ODA Grants,111,"I.1.a. Education, Level Unspecified",11130,Teacher training,11130,Teacher training,156808,0,0,0,0,1,0,NA,0,22000,NA,0,0,0,0,147954.9934,0,0,C01,0,0,1,1,NA,0,0,0,0,0,,OECD,CRS Online 2012
258515,,97052523,NA,2010,Spain,ES,Europe,Global Humanitarian,AG,1,Peru,PE,South America,1/1/10,1/1/11,1/1/10,NA,NA,"Improving food security with gender equity and biodiversity in the native community Yanesha de Tsachopen, Department of Pasco, Peru","IMPROVING FOOD SECURITY WITH GENDER EQUITY AND BIODIVERSITY IN THE NATIVE COMMUNITY YANESHA DE TSACHOPEN, DEPARTMENT OF PASCO, PERU","El proyecto busca contribuir a mejorar las condiciones de vida de los habitantes a traví©s de la mejora de la nutricií_n, salud bíçsica, medioambiente e identidad cultural, fortaleciendo la cap. de organizacií_n de la regií_n y revalorando el papel de la mujer en el desarrollo de la comunidad.",2010-BIL-CCAA-23006,2010006726,311,Agriculture,NA,,,,ODA Grants,311,III.1.a. Agriculture,31120,Agricultural development,31120,Agricultural development,95375,0,0,0,0,1,0,NA,0,22000,NA,0,0,0,0,89991.0596,0,0,C01,0,0,1,NA,NA,0,0,0,0,0,,OECD,CRS Online 2012
213900,9.06E+11,107071786,NA,2011,Belgium,BE,Europe,AECID - Agencia Espaí±ola de Cooperacií_n Internacional para el Desarrollo (Spanish DC Agency),DGCD,3,Peru,PE,South America,1/1/11,,1/1/11,NA,NA,Appui institutionnel íæ l' Instituto de Medicina Tropical Alexander von Humboldt de Universidad Peruana Cayetano Heredia - IMT AvH/UPCH dans la recherche clinique appliquí©e pour amí©liorer la prise en charge clinique et le contríÇle des maladies infectieuses et tropicales,APPUI INSTITUTIONNEL íó L' INSTITUTO DE MEDICINA TROPICAL ALEXANDER VON HUMBOLDT DE UNIVERSIDAD PERUANA CAYETANO HEREDIA - IMT AVH/UPCH DANS LA RECHERC,Appui institutionnel íæ l' Instituto de Medicina Tropical Alexander von Humboldt de Universidad Peruana Cayetano Heredia - IMT AvH/UPCH dans la recherche clinique appliquí©e pour amí©liorer la prise en charge clinique et le contríÇle des maladies infectieuses et tropicales,3011607,2011011607,121,"Health, general",NA,,,,ODA Grants,121,"I.2.a. Health, General",12182,Medical research,12182,Medical research,1175171,0,NA,NA,NA,0,NA,NA,0,51000,NA,0,0,0,0,1175171.023,0,0,B01,0,0,8,NA,NA,0,0,0,0,0,,OECD,CRS Online 2012
238294,,107966582,NA,2011,Germany,DE,Europe,SANAD Fund for MSME (SANAD),BMZ,1,Peru,PE,South America,1/1/10,12/31/13,1/1/11,NA,NA,Adaptation of the agricultural sector and agricultural water use to climate change in Andean countries.,ADAPTATION OF THE AGRICULTURAL SECTOR AND AGRICULTURAL WATER USE TO CLIMATE CHANGE IN ANDEAN COUNTRIES.,Adaptation of the agricultural sector and agricultural water use to climate change in Andean countries.,2011A70252802,2011002362,311,Agriculture,31130,Agricultural land resources,16010.08,Statistical capacity building,ODA Grants,311,III.1.a. Agriculture,31140,Agricultural water resources,31130,Agricultural land resources,76088,0,0,0,1,1,2,NA,2,10000,NA,0,0,0,0,21394.61,54693.17,0,D02,0,0,8,1,NA,0,0,0,0,0,,OECD,CRS Online 2012
769440,,108671961,NA,2011,Spain,ES,Europe,FSU,AECID,1,Peru,PE,South America,1/1/11,1/1/12,1/1/11,NA,NA,"Grants. University education at a post grade, doctoral and postdoctoral grade, with the objective of promoting the qualification of human capital.","GRANTS. UNIVERSITY EDUCATION AT A POST GRADE, DOCTORAL AND POSTDOCTORAL GRADE, WITH THE OBJECTIVE OF PROMOTING THE QUALIFICATION OF HUMAN CAPITAL.",LENGUA ESPAíïOLA,2011-AECID-3143-0001,2011005903,160,Other social infrastructure and services,16010,Social/ welfare services,12250.04|13040.01|12250.03,Tuberculosis control|Unspecified STD and HIV/AIDS activities or does not fit elsewhere in group|Malaria control,ODA Grants,160,I.6. Other Social Infrastructure & Services,16061,Culture and recreation,16010,Social/ welfare services,17519,0,NA,0,0,NA,0,NA,0,11000,NA,0,0,0,0,17519.46607,0,0,D02,0,0,1,1,NA,0,0,0,0,0,,OECD,CRS Online 2012
