line_num,project_number,word,column_name,content
0,2430872,biodiversity,Long Description,"the environmental development policy loan program (envdpl) aims at supporting the government's efforts to strengthen environmental governance and institutions in peru, and mainstream environmental sustainability in the development agenda of key sectors (mining, fisheries, and urban transport and energy). the envdpl promotes improvements in health particularly of the poor who are exposed to the highest risks from environmental degradation. the envdpl is consistent with one of the key pillars of the 2006 country partnership strategy (cps) for peru for fy07-fy11 (and the 2009 cps progress report) laying out a strategy to support the government of peru (gop) to achieve its goals of sustained economic growth. the cps recognizes the need to raise the profile of environmental issues in peru by enhancing environmental public investments and strengthening the institutional framework. in support of the cps' pillar on economic growth, the envdpl program will contribute to making growth environmentally sustainable by supporting the environmental legal and institutional framework, biodiversity conservation, enhancing control over air and water pollution, improving the sustainability of the mining sector and the sustainable management of fisheries resources. in addition, by supporting the policy instruments of the newly created ministry of environment (minam), the envdpl would contribute to the modernization of the state institutions."
0,2430872,bio-diversity,AidData Activity Name(s),"mineral resources and mining, activity unspecified or does not fit under any other applicable codes|fishery development, activity unspecified or does not fit elsewhere in this group|transport and storage, activity unspecified or does not fit under any other applicable codes|bio-diversity, activity unspecified or does not fit elsewhere in group|marine pollution control|energy generation and supply, activity unspecified or does not fit under any other applicable codes|air pollution control|health, activity unspecified or does not fit under any other applicable codes|environmental policy, laws, regulations and economic instruments|institution capacity building, environmental protection"
0,2430872,environmental protection,AidData Activity Name(s),"mineral resources and mining, activity unspecified or does not fit under any other applicable codes|fishery development, activity unspecified or does not fit elsewhere in this group|transport and storage, activity unspecified or does not fit under any other applicable codes|bio-diversity, activity unspecified or does not fit elsewhere in group|marine pollution control|energy generation and supply, activity unspecified or does not fit under any other applicable codes|air pollution control|health, activity unspecified or does not fit under any other applicable codes|environmental policy, laws, regulations and economic instruments|institution capacity building, environmental protection"
0,2430872,fisheries,Long Description,"the environmental development policy loan program (envdpl) aims at supporting the government's efforts to strengthen environmental governance and institutions in peru, and mainstream environmental sustainability in the development agenda of key sectors (mining, fisheries, and urban transport and energy). the envdpl promotes improvements in health particularly of the poor who are exposed to the highest risks from environmental degradation. the envdpl is consistent with one of the key pillars of the 2006 country partnership strategy (cps) for peru for fy07-fy11 (and the 2009 cps progress report) laying out a strategy to support the government of peru (gop) to achieve its goals of sustained economic growth. the cps recognizes the need to raise the profile of environmental issues in peru by enhancing environmental public investments and strengthening the institutional framework. in support of the cps' pillar on economic growth, the envdpl program will contribute to making growth environmentally sustainable by supporting the environmental legal and institutional framework, biodiversity conservation, enhancing control over air and water pollution, improving the sustainability of the mining sector and the sustainable management of fisheries resources. in addition, by supporting the policy instruments of the newly created ministry of environment (minam), the envdpl would contribute to the modernization of the state institutions."
0,2430872,protection,AidData Activity Name(s),"mineral resources and mining, activity unspecified or does not fit under any other applicable codes|fishery development, activity unspecified or does not fit elsewhere in this group|transport and storage, activity unspecified or does not fit under any other applicable codes|bio-diversity, activity unspecified or does not fit elsewhere in group|marine pollution control|energy generation and supply, activity unspecified or does not fit under any other applicable codes|air pollution control|health, activity unspecified or does not fit under any other applicable codes|environmental policy, laws, regulations and economic instruments|institution capacity building, environmental protection"
0,2430872,protection,Short Description,"water, sanitation and flood protection (general water, sanitation and flood protection sector): 40, energy and mining (mining and other extractive): 30, transportation (general transportation sector): 30"
0,2430872,resource,AidData Activity Name(s),"mineral resources and mining, activity unspecified or does not fit under any other applicable codes|fishery development, activity unspecified or does not fit elsewhere in this group|transport and storage, activity unspecified or does not fit under any other applicable codes|bio-diversity, activity unspecified or does not fit elsewhere in group|marine pollution control|energy generation and supply, activity unspecified or does not fit under any other applicable codes|air pollution control|health, activity unspecified or does not fit under any other applicable codes|environmental policy, laws, regulations and economic instruments|institution capacity building, environmental protection"
0,2430872,resource,Long Description,"the environmental development policy loan program (envdpl) aims at supporting the government's efforts to strengthen environmental governance and institutions in peru, and mainstream environmental sustainability in the development agenda of key sectors (mining, fisheries, and urban transport and energy). the envdpl promotes improvements in health particularly of the poor who are exposed to the highest risks from environmental degradation. the envdpl is consistent with one of the key pillars of the 2006 country partnership strategy (cps) for peru for fy07-fy11 (and the 2009 cps progress report) laying out a strategy to support the government of peru (gop) to achieve its goals of sustained economic growth. the cps recognizes the need to raise the profile of environmental issues in peru by enhancing environmental public investments and strengthening the institutional framework. in support of the cps' pillar on economic growth, the envdpl program will contribute to making growth environmentally sustainable by supporting the environmental legal and institutional framework, biodiversity conservation, enhancing control over air and water pollution, improving the sustainability of the mining sector and the sustainable management of fisheries resources. in addition, by supporting the policy instruments of the newly created ministry of environment (minam), the envdpl would contribute to the modernization of the state institutions."
0,2430872,conservation,Long Description,"the environmental development policy loan program (envdpl) aims at supporting the government's efforts to strengthen environmental governance and institutions in peru, and mainstream environmental sustainability in the development agenda of key sectors (mining, fisheries, and urban transport and energy). the envdpl promotes improvements in health particularly of the poor who are exposed to the highest risks from environmental degradation. the envdpl is consistent with one of the key pillars of the 2006 country partnership strategy (cps) for peru for fy07-fy11 (and the 2009 cps progress report) laying out a strategy to support the government of peru (gop) to achieve its goals of sustained economic growth. the cps recognizes the need to raise the profile of environmental issues in peru by enhancing environmental public investments and strengthening the institutional framework. in support of the cps' pillar on economic growth, the envdpl program will contribute to making growth environmentally sustainable by supporting the environmental legal and institutional framework, biodiversity conservation, enhancing control over air and water pollution, improving the sustainability of the mining sector and the sustainable management of fisheries resources. in addition, by supporting the policy instruments of the newly created ministry of environment (minam), the envdpl would contribute to the modernization of the state institutions."
2,40317803,biodiversity,Title,strengthening biodiversity conservation through the national protected areas program
2,40317803,biodiversity,Long Description,description:project objective is to conserve peru’s key ecosystems and biodiversity of global significance by expanding and consolidating the protected areas network.;
2,40317803,bio-diversity,AidData Purpose Name,bio-diversity
2,40317803,bio-diversity,AidData Activity Name(s),"bio-diversity, activity unspecified or does not fit elsewhere in group|environmental policy, laws, regulations and economic instruments"
2,40317803,protected area,Title,strengthening biodiversity conservation through the national protected areas program
2,40317803,protected area,Long Description,description:project objective is to conserve peru’s key ecosystems and biodiversity of global significance by expanding and consolidating the protected areas network.;
2,40317803,conservation,Title,strengthening biodiversity conservation through the national protected areas program
3,40336737,bio-diversity,AidData Purpose Name,bio-diversity
3,40336737,bio-diversity,AidData Activity Name(s),"bio-diversity, activity unspecified or does not fit elsewhere in group|forestry policy and administrative management, activity unspecified or does not fit elsewhere in group|forestry sector policy, planning and programs|natural reserves|environmental policy and administrative management, activity unspecified or does not fit elsewhere in group"
3,40336737,protected area,Title,sfm sustainable management of protected areas and forests of the northern highlands of peru
3,40336737,protected area,Long Description,description:to promote the sustainable and participative management of protected areas and communal forested lands in the northern andean highlands region of peru.;
3,40336737,forest,Title,sfm sustainable management of protected areas and forests of the northern highlands of peru
3,40336737,forest,AidData Activity Name(s),"bio-diversity, activity unspecified or does not fit elsewhere in group|forestry policy and administrative management, activity unspecified or does not fit elsewhere in group|forestry sector policy, planning and programs|natural reserves|environmental policy and administrative management, activity unspecified or does not fit elsewhere in group"
